月份,縣市代碼,縣市名稱,鄉鎮代碼,鄉鎮名稱,村里名稱,用電量_2015
1,63000,臺北市,6300100,松山區,民有里,2782233
1,63000,臺北市,6300100,松山區,東榮里,1794449
1,63000,臺北市,6300100,松山區,民福里,1509459
1,63000,臺北市,6300100,松山區,復源里,686540
1,63000,臺北市,6300100,松山區,富錦里,1079717
1,63000,臺北市,6300100,松山區,三民里,835908
1,63000,臺北市,6300100,松山區,中正里,1516509
1,63000,臺北市,6300100,松山區,龍田里,510773
1,63000,臺北市,6300100,松山區,吉仁里,895775
1,63000,臺北市,6300100,松山區,東昌里,535503
1,63000,臺北市,6300100,松山區,莊敬里,472451
1,63000,臺北市,6300100,松山區,精忠里,1008954
1,63000,臺北市,6300100,松山區,新益里,279311
1,63000,臺北市,6300100,松山區,慈祐里,55247
1,63000,臺北市,6300100,松山區,東勢里,--
1,63000,臺北市,6300100,松山區,中華里,712531
1,63000,臺北市,6300100,松山區,富泰里,17
1,63000,臺北市,6300100,松山區,新東里,203503
1,63000,臺北市,6300100,松山區,福成里,937
1,63000,臺北市,6300100,松山區,松基里,17849
1,63000,臺北市,6300100,松山區,美仁里,--
1,63000,臺北市,6300100,松山區,鵬程里,--
1,63000,臺北市,6300100,松山區,自強里,--
1,63000,臺北市,6300100,松山區,介壽里,596
1,63000,臺北市,6300100,松山區,東光里,--
1,63000,臺北市,6300100,松山區,中崙里,9585
1,63000,臺北市,6300100,松山區,復勢里,886
1,63000,臺北市,6300100,松山區,復盛里,8691
1,63000,臺北市,6300100,松山區,吉祥里,35246
1,63000,臺北市,6300100,松山區,安平里,14890
1,63000,臺北市,6300100,松山區,復建里,997152
1,63000,臺北市,6300100,松山區,敦化里,1652269
1,63000,臺北市,6300100,松山區,新聚里,53150
1,63000,臺北市,6300200,信義區,新仁里,1018643
1,63000,臺北市,6300200,信義區,黎安里,217010
1,63000,臺北市,6300200,信義區,興雅里,1454129
1,63000,臺北市,6300200,信義區,五全里,1076422
1,63000,臺北市,6300200,信義區,富台里,1005653
1,63000,臺北市,6300200,信義區,興隆里,595025
1,63000,臺北市,6300200,信義區,敦厚里,1219647
1,63000,臺北市,6300200,信義區,四維里,1053927
1,63000,臺北市,6300200,信義區,松友里,1270802
1,63000,臺北市,6300200,信義區,長春里,1158177
1,63000,臺北市,6300200,信義區,大道里,1443847
1,63000,臺北市,6300200,信義區,景勤里,907481
1,63000,臺北市,6300200,信義區,廣居里,1785450
1,63000,臺北市,6300200,信義區,嘉興里,813257
1,63000,臺北市,6300200,信義區,永吉里,15652
1,63000,臺北市,6300200,信義區,安康里,4008264
1,63000,臺北市,6300200,信義區,中興里,613737
1,63000,臺北市,6300200,信義區,雙和里,1188850
1,63000,臺北市,6300200,信義區,六藝里,756860
1,63000,臺北市,6300200,信義區,景新里,8279
1,63000,臺北市,6300200,信義區,六合里,--
1,63000,臺北市,6300200,信義區,景聯里,1006168
1,63000,臺北市,6300200,信義區,正和里,--
1,63000,臺北市,6300200,信義區,惠安里,995
1,63000,臺北市,6300200,信義區,雅祥里,--
1,63000,臺北市,6300200,信義區,國業里,1607978
1,63000,臺北市,6300200,信義區,西村里,--
1,63000,臺北市,6300200,信義區,泰和里,1221
1,63000,臺北市,6300200,信義區,三犁里,20240
1,63000,臺北市,6300200,信義區,永春里,1206410
1,63000,臺北市,6300200,信義區,黎忠里,1052481
1,63000,臺北市,6300200,信義區,三張里,7040
1,63000,臺北市,6300200,信義區,四育里,13669
1,63000,臺北市,6300200,信義區,松光里,1163506
1,63000,臺北市,6300200,信義區,五常里,25187
1,63000,臺北市,6300200,信義區,黎順里,1169211
1,63000,臺北市,6300200,信義區,松隆里,475607
1,63000,臺北市,6300200,信義區,大仁里,832620
1,63000,臺北市,6300200,信義區,黎平里,1869365
1,63000,臺北市,6300200,信義區,中坡里,963964
1,63000,臺北市,6300200,信義區,中行里,1566303
1,63000,臺北市,6300300,大安區,錦泰里,602915
1,63000,臺北市,6300300,大安區,敦安里,1904071
1,63000,臺北市,6300300,大安區,民輝里,2424211
1,63000,臺北市,6300300,大安區,車層里,2066128
1,63000,臺北市,6300300,大安區,義村里,1407718
1,63000,臺北市,6300300,大安區,法治里,1212696
1,63000,臺北市,6300300,大安區,敦煌里,1706458
1,63000,臺北市,6300300,大安區,昌隆里,873011
1,63000,臺北市,6300300,大安區,龍淵里,1769761
1,63000,臺北市,6300300,大安區,義安里,1799416
1,63000,臺北市,6300300,大安區,建安里,1935740
1,63000,臺北市,6300300,大安區,大學里,5691
1,63000,臺北市,6300300,大安區,仁愛里,21031
1,63000,臺北市,6300300,大安區,臥龍里,559348
1,63000,臺北市,6300300,大安區,龍陣里,985662
1,63000,臺北市,6300300,大安區,光信里,1028512
1,63000,臺北市,6300300,大安區,誠安里,761803
1,63000,臺北市,6300300,大安區,仁慈里,3758
